Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
"Not Verified |  Just dreading my return flight to Melbourne on Air India, a junk airline that does not have any in-flight equipment working. No entertainment, no call lights, no seat reclining. A personal message to avoid Air India even if given free tickets. Gone are the days of the Maharaja of the skies.",AirIndia,Aviation,Medium,4.0
cancel order but refund nahi huva customer care bat ki to bolte refund charge laga bad delete zomato app,Zomato Food Delivery,Food & Beverage,Medium,6.0
Not Verified |  Absolutely worse service. No customer care agent available to speak. My flight got cancelled because of some technical reasons by AirAsia India and i will get the refund amount after deducting 1000 rs from the total amount i paid. Regret to choose AirAsia India. Will never choose it again nor will refer it to anyone.,AirAsia India,Aviation,High,9.5
"Delayed cake delivery by an hour then customer care assured me that it was due to traffic and cake will get delivered then again delayed it and at 11 45, canceled the order, leaving me without a cake for birthday celebration. Just awful app. Use swiggy instead",Zomato Food Delivery,Food & Beverage,Medium,7.0
"✅ Trip Verified |  I flew Mumbai to Chennai on 21st Oct 2022. The inflight service was very bad. The announcement to buy food and beverages online was made but no crew came and asked if we would like to buy anything. When I called them to ask for a tin of cookies for my son, the 1st time I was told they need to serve pre booked meals 1st and then only they will get back to me, and the 2nd time again I asked while collecting trash and they said give us 5 minutes. So basically only pre booked meals passengers were given priority while those even though willing to buy in the air were not even asked if they wanted water. The crew just moved past my row and I had to call her back to ask for the cookies. If this is the kind of service offered, it's better IndiGo clearly states that only pre booked meals will be given any priority. Why make the false announcements of you may purchase any snacks you wish to. I would rate this kind of service negative. Very very disappointed.",IndiGo,Aviation,Medium,4.5
"Airtel Xstream Box is not working since yesterday. No channels, no internet. Phir bhi bill pura bheja hai. Harami company!",Airtel Xstream Box,Tech & Telecommunications,Medium,7.5
"Not Verified |  Bangalore to New Delhi. Really worst experience twice. They delay at last moment and leave you with no option. Once they changed the flight timings and didn't even forward me the revised schedule. The second time I had to wait for the flight for 3 hours, being delayed again and again. I would now prefer not flying rather than booking a SpiceJet flight.",SpiceJet,Aviation,High,8.5
"International transfer is stuck for 5 days. Urgent payment thi, ab kya hoga?",HDFC International Transfer,Banking,High,9.5
"Urban Ladder se sofa table mangwaya, assembly karne wala hi nahi aaya. Hum khud thodi na carpenter hain? Paisa liya hai toh kaam karo!",Urban Ladder Furniture,Retail,Medium,6.0
"✅ Trip Verified |  Service was ok, on time boarding and departure and so was arrival. Cabin crew were courteous but with respect to any other airline in India it has the least legroom, most congested seating configuration I found in India. This is one reason which makes me rethink before booking next flight with them.",AirAsia India,Aviation,Low,2.0
"✅ Trip Verified |  I repeatedly asked for assistance in checking in. 2 crew with IndiGo uniform pointed me and made me line up for check in counter. After 30 minutes, it was then my turn. Counter said it was local flights only. The international counter to SG was on the other side. Because of them, I was not allowed because the international counter closed 5 minutes before I arrived. I kindly asked for help from the manager. But the manager only did bare minimum. My baggage is only hand carry and immigration forms has been submitted beforehand. Just needed to print boarding pass. It was a connecting flight booked through Kiwi.com. Even after explaining and begging, they did not let me check in. I asked for help in rebooking, but they did not even help in that. I had to waste a lot of money because of their incompetence. Totally not recommended.",IndiGo,Aviation,High,10.0
"✅ Trip Verified |  Delhi to Coimbatore. I have flown with Indigo loads of times and have regularly recommended it to many. I have never had a bad experience in all of my trips and was really happy until my recent trip. I had booked my seats under student discount which allowed an additional baggage of 10kgs free of charge. During my through leg from DEL to CJB, this promotion was honored and I paid for whatever excess I had, (excluding the 15kg+10kg allowance). But they would not agree that I had this promotion during my return leg and would not agree or believe me that I availed this in my first leg. I was astounded when the rep said there was nothing in the notes regarding the promotion. How can it be possible that you allow different baggage allocations for different legs. I ended up paying for the excess baggage which I had packed in anticipation of availing the 10 kg student discount. It was never about the money for me, but Indigo let me down in not acknowledging my promotion status.",IndiGo,Aviation,Medium,6.5
i was wrong. zomato also cheating app. i have ordered a food. in time they didn't came. after one hour waiting i canceled the order. but i didn't get refund. so better you people go hotel and eat. don't order from zomato,Zomato Food Delivery,Food & Beverage,High,8.0
Internet banking password reset nahi ho raha. Security questions bhi sahi daale phir bhi nahi. Kya scam hai ye?,ICICI Internet Banking,Banking,High,8.5
ATM is always out of cash during weekends. Kya faida aise bank ka?,BOB ATM,Banking,Medium,5.0
